VIN,Stock,Year,Make,Model,Body,Trim,Mileage,Price,Exterior Color,Interior Color
1HGCR2623EA607407,,2014,Honda,Accord,,STD,,,White,
1HGCR2624EA607545,,2014,Honda,Accord,,STD,,,White,
1HGCR2626EA607384,,2014,Honda,Accord,,STD,,,White,
RKLBB9HE7E5025692,,2014,Toyota,Corolla,,XLI,,,Grey,
1HGCR2626EA607384,12,2014,Honda,Accord,Sedan,STD,,,White,Off White
KMHSU81E9HU683659,122,2017,Hyundai,Santa Fe,Sedan,GLS 4X4,,,Chalk Beige,Red
KMHCT41B0HU127715,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B0HU183430,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B0HU183461,,2017,Hyundai,Accent,,GL,,,Sleek Silver,
KMHCT41B0HU185520,,2017,Hyundai,Accent,,GL,,,Misty Beige,
KMHCT41B0HU190331,,2017,Hyundai,Accent,,GL,,,Su 2 Ice,
KMHCT41B1HU128209,,2017,Hyundai,Accent,,GL,,,Coffee Bean,
KMHCT41B1HU159606,,2017,Hyundai,Accent,Sedan,GL,,,Su 2 Ice,Off White
KMHCT41B1HU185011,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B1HU185316,,2017,Hyundai,Accent,,GL,,,Coffee Bean,
KMHCT41B2HU106137,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B2HU108373,,2017,Hyundai,Accent,,GL,,,Sonic Silver,
KMHCT41B2HU127988,,2017,Hyundai,Accent,,GL,,,Sleek Silver,
KMHCT41B2HU129997,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B2HU130020,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B2HU130258,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B2HU186183,,2017,Hyundai,Accent,,GL,,,Sonic Silver,
KMHCT41B3HU107815,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B3HU127529,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B3HU127742,,2017,Hyundai,Accent,,GL,,,Crystal White,
